251;V1459;Aql;193921+1023.3;52487.6;31.347635;8.56;0.17;LB:;19;93;21;+;10;23.3
252;EZ;Aql;193930+0836.5;52447.8;19.328287;12.11;1.83;RVA;19;93;30;+;08;36.5
253;V1379;Aql;193939-0603.8;52022.5;25.724134;8.26;0.15;RS;19;93;39;-;06;03.8
254;V0395;Aql;193942+0252.3;52584.2;204.081635;12.23;1.39;SR;19;93;42;+;02;52.3
255;V0649;Aql;193945+1228.9;53043.3;171.080154;10.95;0.72;LB;19;93;45;+;12;28.9
256;V0601;Aql;194006-0020.8;52869.5;334.316650;11.47;2.69;M;19;94;06;-;00;20.8
257;V0650;Aql;194018+0804.8;52489.3;77.114166;12.40;0.58;SRA;19;94;18;+;08;04.8
258;MN;Aql;194030+1144.2;52757.296;134.686188;10.55;0.44;LB;19;94;30;+;11;44.2
259;MP;Aql;194035+1510.3;53041.4;190.642197;12.22;0.15;M;19;94;35;+;15;10.3
260;RV;Aql;194043+0955.8;52905.4;219.530853;9.04;4.80;M;19;94;43;+;09;55.8
261;V1279;Aql;194048+0229.5;52331.8;134.803925;9.31;0.34;LB;19;94;48;+;02;29.5
262;GV;Aql;194058-0330.5;52713.1;311.281464;12.89;2.07;M:;19;94;58;-;03;30.5
263;MS;Aql;194107+1148.8;53397.9;350.000000;9.76;0.29;LB;19;94;07;+;11;48.8
264;V1648;Aql;194108+0202.5;52200.8;87.378273;10.95;0.26;MISC(ASAS);19;94;08;+;02;02.5
